email,label
"congratulations you won a free prize claim now",1
"meeting reminder project discussion at 3pm",0
"limited time offer 50 discount today only",1
"your invoice for project services",0
"win a free vacation click to enter",1
"team meeting notes from yesterday",0
"your account has been compromised verify now",1
"project update next steps and timeline",0
"free gift card for our valued customers",1
"reminder submit your timesheet by friday",0
"urgent your package delivery notification",1
"monthly newsletter company updates",0
"your exclusive offer inside",1
"password reset request confirmation",0
"last chance claim your free trial",1
"hr announcement office closure",0
"youre selected for our special promotion",1
"it maintenance scheduled for tonight",0
"hot deal buy one get one free",1
"your subscription renewal notice",0
"claim your free iphone today",1
"security alert unusual login detected",1
"minutes from todays staff meeting",0
"your amazon order confirmation",0
"work from home earn 5000 daily",1
"project deadline extension approved",0
"verify your paypal account immediately",1
"quarterly financial report attached",0
"free rolex watch just pay shipping",1
"it helpdesk new ticket created",0